Aadorf
Aarau
Aaray
Aarberg
Aarburg
Aarwangen
Aathal
Ablandschen
Abtwil
Abtwyl
Acheberg
Ackersand
Acla
Aclas Dafora
Acquacalda
Acquarossa
Adannes
Adelboden
Adligenswil
Adliswil
Aecherli
Aeckenmatt
Aedermannsdorf
Aelgau
Aelgauli
Aelggi Alm
Aelggi Alp
Aernen
Aesch
Aesch
Aesch
Aeschau
Aescher
Aeschi
Aeschlen
Aeschlenberg
Aettenschwil
Aeugst
Affeltrangen
Affoltern
Affoltern am Albis
Agarn
Ageri
Agettes
Agiez
Agno
Agra
Aigle
Aino
Aion
Airlonia
Airola
Airolo
Alberswil
Albeuve
Albinen
Albligen
Alchenstorf
All'Acqua
All'Acqua Ospizio
Allaman
Alle
Allmendingen
Allschwil
Almagell
Alpe Braita
Alpe Cava
Alpe de la Barma
Alpe della Costa
Alpe de Noveli
Alpe de Peryeire
Alpe de Tortin
Alpe di Boggio
Alpe di Cava
Alpe di Cortas
Alpe di Crastera
Alpe dil Chant
Alpe di Naccio
Alpe di Quarnajo
Alpe di Scieru
Alpe di Trescolmen
Alpe Hannig
Alpe Porcarescio
Alpe Pulgabio
Alpe Quarnaro
Alpe Ritom
Alpe Schmorras
Alpe Sfille
Alpe Silvretta
Alpe Trescolmine
Alp Grum
Al Piano
Alpi di Trescolmine
Alpiglen
Alp Laret-Dadaint
Alpnach
Alpnachstad
Alp Schmorras
Alp Spinas
Alptal
Alpthal
Alp Vallatsch
Alp Valtnov
Al Sasso
Altanca
Altdorf
Alten
Altendorf
Altenrhein
Alterswil
Alterswilen
Alt-Felsberg
Alt Guraletsch
Altishofen
Altmatt
Altnau
Alton
Alt Sankt Johann
Altstatten
Alt Toggenburg
Alt-Wiedikon
Alvaneu
Alvaneubad
Alvaneu Dorf
Alvaschein
Am Bach
Ambri
Amden
Amriswil
Amsoldingen
Amsteg
Andeer
Andelfingen
Andermatt
Andest
Andwil
Angeli Custodi
Angone
Anieres
Anveuda
Anzonico
Appenzell
Apples
Apro
Aproz
Aquila
Aquino
Arbas
Arbaz
Arbedo
Arbon
Arcegno
Arch
Arconciel
Ardet
Ardez
Ardon
Argseeli
Arisdorf
Aristau
Arlesheim
Arnex
Arni Alm
Arni Alp
Arni
Arogno
Arolla
Arosa
Arosa Bahnhof
Arosio
Artaschiew
Arth
Arveyes
Arvigo
Arzier
Arzo
Ascharina
Aschlenberg
Ascona
Assens
Astano
Asuel
Attalens
Attinghausen
Attiswil
Au
Au
Au
Au
Aubonne
Auenstein
Auf dem Stock
Auf der Hohe
Augio
Augst
Aumont
Auressio
Aurigeno
Ausserbinn
Ausserdinhard
Aussere Altmatt
Ausserferrera
Ausserglas
Ausserholligen
Ausser Latterbach
Aussersihl
Autigny
Auvernier
Auw
Aux Acacias
Avegno
Avenches
Avry
Avry-sur-Matran
Axenstein
Ayent
Ayer
Baar
Bach
Bachenbulach
Bachlen
Bachs
Bachtolen
Baden
Bad Ragaz
Bad Schinznach
Bad-Schwarzsee
Bagnes
Baillaigues
Bains de Lavey
Bale
Balen
Balerna
Balgach
Ballaigues
Ballaluna
Ballens
Ballwil
Balm
Balm bei Messen
Balmenegg
Balstal
Balsthal
Baltenswil
Baltschieder
Banco
Bangerten
Bannwil
Barau
Barbereche
Barberine
Baretswil
Bariswil
Barma
Barmaz
Barme
Barschwil
Barschwil-Dorf
Basadingen
Baselaugst
Basel
Basenheid
Basilea
Basle
Bassecourt
Basse-Nendaz
Bassersdorf
Batanja
Batterkinden
Bauen
Baulmes
Bauma
Bauried
Bauriet
Bavois
Bavugls
Bazenheid
Beatenbeig
Beatenberg
Beckenried
Bedra
Bedretto
Beggingen
Begnins
Bei der Sage
Beim Hohenhaus
Beim Thurm
Beinwil
Belalp
Belfaux
Bellaluna
Bellechasse
Bellelay
Bellerive
Bellevue
Bellinzona
Bellmund
Bellwald
Belmont-sur-Lausanne
Belp
Belvedere
Benken
Benken
Bercher
Berg
Bergun
Berikon
Beringen
Berisal
Berna
Bern
Berne
Berneck
Bernex
Berninahauser
Bernina Suot
Beromunster
Berschis
Berzona
Betelried
